,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1,10974.57649,9502.812228,8770.19526,7999.98706,8495.05123,8526.101251,7865.338266,8433.384516,8852.140793,9967.989427,8462.990669,8630.909198,8231.266545,8468.287233,9002.970803,7715.751774,8558.125056,8041.325285,8446.707144,8398.728446,10861.88692,8840.146529,9939.845197,7807.817354,8922.176821,10546.15788,8588.334169,7932.431681,8585.078768,9166.452735,8464.396676,9093.629488,8815.406028
2,9118.382036,8741.837374,7247.20478,8582.275579,7285.160581,8107.718759,8258.00356,7537.996933,8506.278418,9168.50178,10754.02698,9031.994563,7596.826922,8472.092865,7869.22266,9409.023024,8535.738693,7372.900847,7699.013981,8561.3786,10733.83176,8940.113253,8207.17984,8204.227987,8602.255677,9508.874129,7817.003712,9615.605451,10287.17807,8104.406499,7137.460041,7795.534949,8525.289072
3,7883.791401,10311.83544,8603.200582,8352.120596,7409.169599,7612.244804,8972.115203,7807.946781,8546.986028,8353.832792,9281.964381,7406.746222,8155.239871,8869.475973,9676.74488,8423.89324,8914.467193,9053.129341,7580.358639,9290.42056,10540.32984,9097.438306,8978.636375,8495.313539,8815.643083,11195.00928,7844.858124,8247.525748,8670.887023,9878.711066,9348.728085,7850.010091,8733.39919
4,7853.717583,10279.06036,8902.277082,9587.96014,9018.845906,7167.184437,7577.032657,8520.178933,8503.814284,8153.54796,8789.541648,8556.068277,7430.445399,8418.683685,7708.146648,8451.490919,8112.561012,7786.286056,8086.876453,8662.455036,9813.764654,8869.950508,8615.976803,8753.721152,8708.491703,9214.979622,7417.056011,7717.866984,8020.618304,8221.263462,8134.626588,7182.083277,8382.392923
5,10643.43134,9642.07118,8465.588828,7910.724081,7482.782081,8781.290236,8083.042531,8508.75505,7768.394295,8626.36834,8000.048426,8566.404867,7679.801416,10532.73082,7873.37121,8711.000946,8154.961686,8453.339619,8322.347398,8379.955995,10333.13057,9655.650121,8013.477401,7704.512808,7967.940643,9283.836663,8072.200771,7291.724886,7447.224232,8635.77068,8280.825933,9880.412385,8536.03492
6,8173.349885,9203.392429,7538.920872,8900.653752,7644.166345,7627.448501,7219.214,7947.435761,8868.753855,7552.940522,8155.58865,7530.811891,9131.937171,7956.043445,9532.372967,8765.215613,8520.855658,8466.358768,9755.539931,9018.60229,9748.354872,7830.002286,8074.310937,8461.646919,7811.670648,7711.04663,8309.304977,7859.321858,7722.082231,9138.449974,7547.306378,8255.980768,8311.846275
7,7708.029607,10345.23766,7925.307291,8589.745247,7794.574091,8946.943805,7783.640713,8528.359441,8893.636822,8294.400496,7403.560234,7931.652924,8240.733746,8872.192758,8241.311005,7804.879059,9095.08171,7837.847935,8539.48082,8842.754876,7850.198117,9512.614243,7480.493342,8380.336538,8638.967496,9483.736341,7417.444848,7760.628317,8716.873853,11793.03864,7193.315265,7878.150175,8428.911482
8,8446.418099,12541.36613,9035.036495,8203.766247,8202.500448,8224.301468,7347.803846,7590.97031,8187.42158,8075.357595,8390.108246,8485.689598,8074.994355,8137.066986,10026.73631,9385.123032,7615.106699,8451.70932,7265.11441,8187.147579,9297.343986,8487.794746,8043.653963,8603.496995,8380.929548,9514.940875,8444.324959,7654.039271,8342.131214,9134.144522,7982.790554,9553.699467,8541.032152
9,9032.607596,11074.06447,7655.852433,8279.122011,8301.618589,7206.82768,8006.414806,7276.729347,8349.752698,8330.349238,8168.202376,8071.170163,8834.11762,8314.690971,8330.901053,9802.398456,8426.739779,8018.220209,7009.970302,8000.899775,10608.32597,10728.11892,7968.549627,8798.168149,8001.618325,10278.45759,8236.721778,7724.653755,9232.962648,8217.238313,7309.553631,8315.689209,8497.209609
10,9075.427948,10960.02163,7946.968191,8715.670306,7639.588779,8223.12018,7511.712645,7997.460435,7288.614331,8105.158329,7646.38459,8262.396087,9222.953247,7889.329823,7691.506124,8863.319135,9378.708223,9693.844295,7846.666677,8039.678944,10373.98785,9491.430638,8738.208925,7377.073542,7462.019203,9150.891624,7956.959477,7557.666385,8166.515195,8733.325057,8115.417044,9641.793606,8461.369327
11,11968.57417,9149.042679,9149.067792,8292.57135,7235.791922,7697.69992,7819.769263,8224.305683,8459.926611,8972.218219,8058.940636,8583.316379,8577.082343,8650.785088,8986.594577,8125.992568,8557.933103,8360.763898,8266.192068,8062.277641,8951.638683,8677.659666,7486.498101,8044.178979,7894.717556,9294.578514,8548.988714,8526.372291,8120.325304,8241.285426,7877.725343,8075.437324,8466.820369
12,10315.9351,9057.649905,9374.810704,7563.582487,7602.733728,6905.139145,7686.238272,8543.966055,9404.389656,8268.89423,8323.119799,7809.062721,9761.967432,9158.24198,8142.132557,7841.237069,8295.139541,8422.49841,8303.96554,8153.075196,9281.386903,9514.904878,7579.071625,8693.798558,8638.761785,10283.13665,8314.861877,8144.274406,8115.021183,11815.25024,7921.084044,8148.836468,8605.755255
13,9018.041026,8379.321021,8178.257235,8412.479463,6856.221184,7136.602927,7799.368972,8509.984543,7415.764262,8078.561362,8111.797583,8531.825268,9496.410803,8688.647638,8699.441684,8014.589536,7731.120728,8392.959182,8580.852202,8156.610954,8925.531003,10065.22472,7520.139364,9238.209172,8707.889678,9169.07491,8168.929765,7676.658472,8903.35653,8824.955105,7876.566949,9219.091204,8390.140139
14,8751.961288,10175.59664,8104.520833,8672.358553,7601.033375,7630.629861,8474.995196,7360.267953,8662.718053,8536.006006,8798.688813,8081.788095,10543.30512,8614.555081,8328.872916,9725.130719,7164.376786,8287.729941,7666.685917,8566.844847,9124.989055,8148.428966,7936.783808,7630.178229,8008.580715,10730.01002,7926.310316,8841.100788,8191.070705,9506.09115,8059.483205,9771.322845,8550.700494
15,8093.549837,8027.128665,8363.177702,10283.78232,7420.657544,7988.449502,10049.20726,8317.967795,7919.080241,8563.76213,8602.513164,7700.215813,8357.78638,9771.254984,7469.837186,10581.59969,8506.385119,8403.733647,8442.606392,7981.427253,10239.71893,8914.593277,9012.221212,7832.740863,9240.296039,8841.754045,7564.647908,7631.632393,8381.290001,10747.29289,8157.96043,7717.265039,8597.672989
16,8239.016544,8205.897645,8324.831334,9381.686835,8098.943678,8462.202761,10815.21315,8411.293299,7571.794338,8869.38531,7381.043119,8300.44822,8405.42406,9531.973933,8349.112193,9145.414984,7746.986092,9056.699809,7994.931157,8345.215781,8966.425887,8791.649556,8605.047676,7940.932951,8063.619959,9429.311759,7740.314104,7964.91069,7801.963553,9205.51478,7363.551054,9232.049844,8491.962689
17,8884.956515,10552.71098,8650.985252,8237.186075,9518.357739,8151.722845,7822.301062,8368.582881,8166.964712,8806.447849,7450.760118,8329.389821,11413.58692,8618.116524,7415.174237,7903.47107,7803.272153,9389.868059,7781.238722,8502.267979,11498.20031,7538.554381,8329.613622,7316.092975,8646.149883,9415.990231,7736.82168,7933.660445,8691.365453,9546.367098,7347.975321,8691.676736,8576.869676
18,8223.033488,9904.02733,7800.4429,7890.485718,7712.229161,8173.744021,9212.96871,8412.327329,7734.010396,7688.472888,8057.173819,7778.241908,12318.56617,8325.003642,8218.717057,7822.86665,8156.562943,8346.800481,8019.695163,8774.080334,8693.593178,8653.705551,9782.089586,8680.523857,8485.919669,8488.279422,8051.594855,7583.899343,8057.702749,21018.25583,8366.632073,8981.370119,8856.656761
19,9862.791316,10554.97392,7835.300548,8469.974929,8579.091281,7542.616998,9133.343789,8185.43285,8048.078851,7964.022885,8539.387501,8564.006645,8109.145027,10151.31175,7568.032891,7909.451927,8067.769121,7655.743436,8900.516957,8301.960976,7935.533787,8824.742568,7848.131879,8697.581818,8341.336621,8208.887389,7582.349277,7511.976155,8166.135245,8336.093205,7493.456732,7474.0273,8323.850174
20,9841.32658,10059.38142,7863.821316,9052.463142,8158.587223,8051.942058,9600.038507,9121.242258,9235.692628,8074.208514,8330.510118,7745.130711,9191.314572,11001.8969,8483.325032,8035.31782,8364.640407,8613.595989,8227.783112,7813.060628,8801.721315,8173.097176,8649.153619,7743.1593,8063.279788,7462.468454,8503.835863,7307.712517,7645.275023,7390.539281,7810.679919,7686.254914,8440.701753
21,8954.417952,8075.637242,9250.091141,7971.478651,8355.157996,8616.938207,10162.85296,8150.380563,7871.177527,8726.361675,7576.691175,7509.889033,10947.58559,9081.443595,7444.905172,8501.491962,8453.237651,8326.367052,7662.939755,9077.698727,9099.580273,9773.980014,8187.973595,7483.087835,9563.402965,8128.041116,8922.350493,7962.873286,8042.147158,10883.61207,8021.847926,8863.244959,8614.027666
22,7897.120362,8067.86891,7427.442353,9539.773303,8309.830523,9190.058121,9749.626076,8533.508506,9317.695553,8432.677415,10379.48034,8131.443882,8627.038544,10208.95223,7399.04158,8336.764033,8693.797484,8563.520665,8312.593686,8812.339185,8774.434795,8110.91163,7541.812245,7383.32527,8567.05886,8878.58017,8654.400417,8259.803956,9206.727472,7981.020598,8792.882871,8785.221447,8589.586015
23,8554.468414,9890.199932,8182.837488,8202.805312,8061.983475,7943.788056,8120.152941,7970.954009,9373.170843,9444.278563,7462.433592,7543.54775,8834.056068,10596.94185,8177.69945,7848.66974,8419.541675,7085.552444,7689.638168,7974.446384,9045.689255,9014.911018,7695.999207,7710.32622,7454.377195,8990.346569,7604.306406,8277.34924,7861.260292,8802.089738,8755.729975,8400.491695,8343.438843
24,7760.244564,9196.469672,8656.163614,8901.812104,7902.378769,7863.189832,9940.871728,9283.720367,9329.27061,9389.402975,8640.829239,7241.777401,10355.84893,11182.23955,8198.465323,8617.676269,8644.022289,7884.173391,7661.720074,7294.252813,9319.507769,9304.926496,8501.26918,8092.537641,8556.987759,9315.334236,8053.413223,8142.935066,7883.734342,8852.533207,8181.898623,8754.841706,8653.264024
25,9034.306308,8915.383269,9606.420608,7838.483749,7853.365828,7602.991717,11726.57595,7583.615362,7612.767136,9823.193586,7906.532323,8243.281805,9015.484266,10117.80563,8976.075874,8666.062524,8761.661366,9492.95226,8692.887737,10224.36729,9283.806044,9178.918021,8893.304648,7852.179943,8790.35803,9122.540669,9032.829861,7923.469251,7950.001398,8524.020042,7972.964304,7692.667291,8747.227315
26,7894.027182,9569.080813,9115.548845,9059.046091,8504.712426,7726.071308,8674.399909,8363.607804,7238.403088,9033.35304,7759.21166,9128.949599,9738.069687,12167.32749,8651.808807,9506.165889,7395.224888,7690.566265,7093.46459,9073.637811,10377.13172,11093.14809,7544.42598,10014.03653,8290.725062,8908.825594,8767.543289,7706.494234,7928.114382,10479.09429,8161.805959,8330.198895,8780.756913
27,9206.501395,8612.037563,10445.95141,7820.788826,7905.177496,8385.96509,9822.377831,8088.352152,8241.106508,10757.69786,7444.779073,7636.538309,10147.7871,7841.094255,8020.963426,10541.76707,8935.744527,8488.196928,7712.74043,7977.301175,9183.188811,9210.744745,8001.112893,8170.273926,8350.623918,9660.346906,7552.948096,7946.119727,8331.507545,10260.82191,7811.201532,8154.175873,8645.810447
28,8411.384894,9411.982824,8594.041434,8462.773694,9230.410631,7077.757725,8291.883651,8306.20509,7897.550347,8313.789049,8184.48887,9080.015369,11070.29662,8783.324356,8661.970644,8418.978719,9407.879663,8847.336569,7850.167144,8815.7879,8813.031473,10424.77833,7894.802217,8314.446867,7839.42692,8254.77983,8133.402076,7369.25729,7874.438313,8894.450819,8484.364307,8533.411275,8560.894216
29,8292.666823,8327.369754,9101.312865,10109.09116,7471.872598,8153.352608,9857.020506,7141.453474,8107.879664,10814.6006,8029.053281,7431.327014,10189.32552,9390.460698,8773.46866,11612.58764,9254.973176,8646.705868,8202.86944,8403.963109,9122.425791,9279.682693,8063.039399,8126.696204,9096.699606,9131.76877,7860.754162,7953.147069,7769.048768,10722.9611,8381.100487,8272.477382,8784.098622
30,7665.710208,10024.02255,8105.750972,9105.283843,7543.645681,8018.400172,10559.35901,7674.428391,8776.2539,9928.596389,7925.068291,8848.572596,9255.227133,9669.4952,8821.745251,7417.646816,9071.704144,8743.863365,7833.15012,8827.709389,9290.945276,10361.38263,7981.010927,8575.280806,7739.003417,8535.441343,8193.294832,7984.808818,8707.365246,9721.639641,7932.742541,8259.391834,8659.310648
31,8859.325532,9558.582721,8474.044272,8612.997754,7973.187997,7958.081466,8798.096099,8156.693796,8338.316268,8770.479234,8267.163957,8156.420404,9231.787486,9249.382231,8358.022273,8730.16593,8424.810619,8395.819644,8048.290471,8484.011583,9496.32116,9150.306799,8237.127773,8204.196764,8388.364286,9204.580908,8100.603535,7933.663992,8293.980073,9692.556312,8009.535793,8483.014585,NA
