"map_id","subject_id","real_score","best_score","err_ratio","order_1_to_30","block_1_to_5"
1,1,9206.36563517775,7646,0.204076070517624,4,1
2,1,8554.39301147785,6476,0.320937772000904,28,5
3,1,9017.83089507812,7172,0.25736627092556,22,4
4,1,10974.3498217341,7028,0.561518187497742,25,5
5,1,8411.27691252661,6999,0.201782670742478,10,2
6,1,7707.97665774562,6866,0.122629865678069,26,5
7,1,7897.05778766671,7239,0.0909045154947792,6,1
8,1,7665.55511361747,7095,0.0804165064999959,29,5
9,1,8222.9533014654,7026,0.170360560982835,20,4
10,1,10643.4186749085,7208,0.476611913833027,16,3
11,1,9034.22924711002,6836,0.321566595539792,30,5
12,1,10315.8699372047,7115,0.449876308813029,12,2
13,1,8884.90789189748,7002,0.268910010268135,3,1
14,1,9862.60206104122,7658,0.287882222648371,18,3
15,1,8093.41732659635,7254,0.115717855885904,15,3
16,1,9075.34423502634,7047,0.287830883358357,17,3
17,1,8238.94785464548,6706,0.228593476684385,13,3
18,1,8751.87170420329,7314,0.19659170142238,9,2
19,1,7760.18573130926,6795,0.142043521899818,14,3
20,1,9032.57520985479,6890,0.310968825813467,23,4
21,1,8954.36738084796,7291,0.228139813584962,21,4
22,1,7883.74542506991,6778,0.163137418865434,7,2
23,1,9841.19115531308,7520,0.308669036610782,2,1
24,1,7893.97745543393,6780,0.164303459503529,19,4
25,1,7853.66931220014,7378,0.0644713082407347,11,2
26,1,8173.27110429516,6960,0.174320560961948,24,4
27,1,8292.56155458123,7159,0.158340767506807,1,1
28,1,9118.30425498472,7292,0.250453134254624,5,1
29,1,8446.3347698995,7397,0.141859506543126,27,5
30,1,11968.5577058489,7311,0.637061647633555,8,2
1,2,11073.8076110016,7646,0.448313838739416,12,2
2,2,9203.14952812689,6476,0.421116357030094,6,1
3,2,10059.0820710763,7172,0.402549089664843,9,2
4,2,9057.36405063235,7028,0.288754133556111,29,5
5,2,8067.64040868606,6999,0.152684727630527,30,5
6,2,8741.65604372594,6866,0.273180315136315,2,1
7,2,8915.11760741459,7239,0.231539937479568,23,4
8,2,8327.13013465772,7095,0.173661752594464,28,5
9,2,10311.5754360262,7026,0.467631004273585,1,1
10,2,9196.26279938819,7208,0.275841120891813,13,3
11,2,9148.81330929546,6836,0.338328453671073,11,2
12,2,9502.80895483405,7115,0.335602101874076,4,1
13,2,10959.7723372043,7002,0.56523455258559,26,5
14,2,10023.7304931148,7658,0.308922759612793,20,4
15,2,9568.82126423068,7254,0.319109631131883,22,4
16,2,9411.6754984752,7047,0.335557754856705,24,4
17,2,8075.44245587802,6706,0.204211520411277,18,3
18,2,10552.4268273937,7314,0.442770963548491,19,4
19,2,9903.86669801709,6795,0.457522692864914,21,4
20,2,10175.3563489994,6890,0.476829658780755,3,1
21,2,10554.6909648863,7291,0.447632830186028,17,3
22,2,8026.85805463909,6778,0.184251704726924,5,1
23,2,10345.2236323622,7520,0.375694631963055,25,5
24,2,8205.69519436959,6780,0.210279527193155,10,2
25,2,9889.94553545151,7378,0.340464290519315,7,2
26,2,8379.04244883925,6960,0.203885409315984,15,3
27,2,8611.76664825588,7159,0.202928711867004,27,5
28,2,12541.355675091,7292,0.719878726699264,16,3
29,2,10278.759689865,7397,0.389584924951335,8,2
30,2,9641.81961520951,7311,0.318809959678499,14,3
1,3,9606.20839538905,7646,0.256370441458155,2,1
2,3,8770.10866905773,6476,0.354247787068828,20,4
3,3,8182.65426654177,7172,0.140916657353844,9,2
4,3,8593.84158902629,7028,0.222800453760144,12,2
5,3,7538.76866886707,6999,0.0771208270991664,18,3
6,3,8363.03081771999,6866,0.2180353652374,5,1
7,3,7863.66243803519,7239,0.0862912609525054,11,2
8,3,9101.18614056954,7095,0.282760555400922,27,5
9,3,8603.09229296931,7026,0.22446517121681,24,4
10,3,9374.73134285216,7208,0.300600907720888,22,4
11,3,7925.13757691037,6836,0.159323811718896,15,3
12,3,8902.22708977723,7115,0.25119143918162,10,2
13,3,8105.53139048675,7002,0.157602312266031,26,5
14,3,9115.38893583373,7658,0.190309341320675,16,3
15,3,9148.92659755281,7254,0.261225061697382,6,1
16,3,8104.397176103,7047,0.150049265801476,29,5
17,3,7427.33750621756,6706,0.107565986611625,28,5
18,3,8465.43197303409,7314,0.15742848961363,21,4
19,3,7835.1934969552,6795,0.153082192340722,19,4
20,3,7247.09593373245,6890,0.0518281471309804,7,2
21,3,7800.35028568371,7291,0.0698601406780564,25,5
22,3,7946.81224932278,6778,0.172442055078604,17,3
23,3,10445.8402374642,7520,0.389074499662797,3,1
24,3,7655.71713386397,6780,0.129161819153978,30,5
25,3,9249.9549131676,7378,0.253721186387585,1,1
26,3,8178.06687641588,6960,0.175009608680442,14,3
27,3,9034.93753725758,7159,0.262039046969909,23,4
28,3,8650.88507094416,7292,0.186352862170071,4,1
29,3,8324.73738457098,7397,0.125420763089223,8,2
30,3,8655.99118363808,7311,0.183968155332797,13,3
1,4,10108.8869811742,7646,0.322114436460134,13,3
2,4,9539.52439489658,6476,0.473058121509664,15,3
3,4,8469.73955047727,7172,0.180945280323099,18,3
4,4,7971.27949559324,7028,0.134217344279061,25,5
5,4,9381.51293401453,6999,0.340407620233537,20,4
6,4,7563.41758836785,6866,0.101575529910843,14,3
7,4,8203.68045228832,7239,0.133261562686603,10,2
8,4,8279.05494099001,7095,0.166885826778014,7,2
9,4,8202.61446406518,7026,0.167465764882605,8,2
10,4,8589.60945742307,7208,0.191677227722401,21,4
11,4,8462.59461837572,6836,0.237945380101772,24,4
12,4,8901.60067134294,7115,0.251103397237237,6,1
13,4,7999.74382442915,7002,0.142494119455748,19,4
14,4,8900.52877507336,7658,0.162252386402894,16,3
15,4,8582.23166159041,7254,0.183103344580977,29,5
16,4,8672.20101575326,7047,0.230623104264689,5,1
17,4,7838.35160659457,6706,0.168856487711687,27,5
18,4,8351.92573787311,7314,0.14190945281284,26,5
19,4,8412.29825962735,6795,0.23801298890763,3,1
20,4,7910.60427937754,6890,0.148128342435057,23,4
21,4,8715.55819369329,7291,0.195385844698024,4,1
22,4,7820.57095346163,6778,0.153816900776281,2,1
23,4,9052.2942919431,7520,0.203762538822221,9,2
24,4,8292.48459203005,6780,0.223080323308267,12,2
25,4,9587.89396511497,7378,0.299524798741525,17,3
26,4,7890.24859488539,6960,0.133656407311119,28,5
27,4,8237.01325851692,7159,0.150581541907658,22,4
28,4,9058.82508254556,7292,0.242296363486775,11,2
29,4,10283.7757507973,7397,0.390263045937177,1,1
30,4,9105.06654115113,7311,0.245392769956384,30,5
1,5,8355.05467728432,7646,0.0927353750044887,14,3
2,5,7285.08132598095,6476,0.124935349904408,2,1
3,5,7420.53582051542,7172,0.0346536280696352,20,4
4,5,7235.69637695929,7028,0.0295527001934103,29,5
5,5,7482.67157316402,6999,0.0691058112821866,5,1
6,5,7543.57752756068,6866,0.0986859201224412,28,5
7,5,9230.26087126027,7239,0.275074025591969,18,3
8,5,7639.4758943719,7095,0.0767407884949826,30,5
9,5,7902.27758610365,7026,0.124719269300264,23,4
10,5,8309.76798270426,7208,0.152853493715907,8,2
11,5,7905.00739634048,6836,0.156379080798783,4,1
12,5,8578.97596831035,7115,0.205759096037997,25,5
13,5,8061.90265707253,7002,0.151371416319984,17,3
14,5,8494.96344065324,7658,0.109292692694337,27,5
15,5,8158.46384012955,7254,0.124684841484637,3,1
16,5,9518.25071940297,7047,0.350681242997441,24,4
17,5,6856.11648856093,6706,0.0223853994275167,16,3
18,5,7794.41832552489,7314,0.0656847587537449,26,5
19,5,7471.79652754099,6795,0.0996021379751274,12,2
20,5,7409.10274286447,6890,0.0753414721138569,15,3
21,5,8504.61133248563,7291,0.166453344189498,1,1
22,5,7853.27027153264,6778,0.158641232152943,10,2
23,5,8301.50931765404,7520,0.103924111390165,13,3
24,5,8098.93123489186,6780,0.194532630515024,9,2
25,5,7602.59225312678,7378,0.0304408041646487,22,4
26,5,7712.07566723058,6960,0.108056848740026,21,4
27,5,7600.95304707909,7159,0.0617339079590846,11,2
28,5,7644.04385520664,7292,0.0482780931440818,7,2
29,5,9018.7717387523,7397,0.219247227085616,19,4
30,5,8202.36069860767,7311,0.121920489482652,6,1
1,6,8946.75710019452,7646,0.170122560841553,20,4
2,6,6905.00807900272,6476,0.0662458429590369,7,2
3,6,7988.21253191161,7172,0.113805428320079,5,1
4,6,8151.501823755,7028,0.15986081726736,22,4
5,6,7612.09805249513,6999,0.0875979500635987,23,4
6,6,7725.9419181303,6866,0.125246419768467,8,2
7,6,8107.59233167611,7239,0.119987889442756,1,1
8,6,7627.30323035593,7095,0.0750251205575663,30,5
9,6,7602.81315182073,7026,0.0820969473129416,11,2
10,6,7630.46766444815,7208,0.0586109412386439,16,3
11,6,7206.67738119867,6836,0.0542243097130879,28,5
12,6,8173.58316934829,7115,0.148781893091819,2,1
13,6,8018.30731447943,7002,0.145145289128739,17,3
14,6,8385.80904791455,7658,0.0950390503936472,10,2
15,6,7943.61197539524,7254,0.0950664427068155,3,1
16,6,8222.93184262648,7047,0.166869851373134,29,5
17,6,7136.50509836094,6706,0.0641970024397472,4,1
18,6,7862.99642281385,7314,0.0750610367533293,12,2
19,6,7077.6630859512,6795,0.0415986881458718,26,5
20,6,8526.03299712857,6890,0.237450362427949,24,4
21,6,8616.78443135313,7291,0.181838490104668,21,4
22,6,7166.96789282408,6778,0.057386823963423,27,5
23,6,8781.08230019205,7520,0.167697114387241,15,3
24,6,8051.76475073718,6780,0.187575921937637,18,3
25,6,8153.1812406049,7378,0.105066581811453,9,2
26,6,7542.40501997913,6960,0.0836788821809094,6,1
27,6,9189.7677063557,7159,0.283666392841975,14,3
28,6,7697.56428246371,7292,0.0556177019286494,19,4
29,6,8461.99645151746,7397,0.143976808370618,25,5
30,6,8224.1031908351,7311,0.124894431792518,13,3
1,7,9856.79583962028,7646,0.289144106672807,11,2
2,7,7219.12220146628,6476,0.114750185525985,13,3
3,7,10559.1832394526,7172,0.472278756198079,4,1
4,7,8972.0974789167,7028,0.276621724376309,22,4
5,7,7347.66535668086,6999,0.049816453304881,16,3
6,7,7799.30878210595,6866,0.135931951952512,2,1
7,7,8120.0351997881,7239,0.121706755047396,8,2
8,7,7783.51810783406,7095,0.0970427213296766,5,1
9,7,10814.9732387898,7026,0.539278855506663,14,3
10,7,7819.68181377364,7208,0.0848615168942348,28,5
11,7,7865.13391693162,6836,0.150546213711471,10,2
12,7,8474.90894215772,7115,0.191132669312399,20,4
13,7,8257.92575594917,7002,0.179366717502023,6,1
14,7,8006.29999667077,7658,0.0454818486120096,12,2
15,7,9822.17941429413,7254,0.354036312971344,21,4
16,7,8083.03309721491,7047,0.147017609935421,9,2
17,7,9599.99188467106,6706,0.431552622229505,24,4
18,7,9133.33423366604,7314,0.248746818931644,29,5
19,7,9749.57724097705,6795,0.434816371004716,18,3
20,7,7686.15335216319,6890,0.115552010473613,17,3
21,7,10048.9960836603,7291,0.378274047957803,30,5
22,7,7576.9079538556,6778,0.117867800804898,19,4
23,7,9940.84929432048,7520,0.321921448712829,7,2
24,7,7822.15610659322,6780,0.153710340205489,23,4
25,7,11726.3659224378,7378,0.589369195234181,25,5
26,7,8291.63993758558,6960,0.191327577239307,27,5
27,7,8674.30880819287,7159,0.211664870539582,15,3
28,7,7511.59647326904,7292,0.0301147110901045,26,5
29,7,9212.92586145445,7397,0.245494911647215,1,1
30,7,10162.6458035849,7311,0.390048666883446,3,1
1,8,9283.70415706261,7646,0.214190970057888,13,3
2,8,7141.44211193897,6476,0.102755113023313,9,2
3,8,8543.95193800105,7172,0.191292796709572,4,1
4,8,7807.93671021433,7028,0.110975627520536,12,2
5,8,8363.59396357887,6999,0.194969847632358,30,5
6,8,7360.20394928614,6866,0.0719784371229446,24,4
7,8,7997.43159220556,7239,0.104770215804056,25,5
8,8,7583.60431514026,7095,0.0688660063622629,20,4
9,8,7537.95046583736,7026,0.0728651388894615,17,3
10,8,8412.28746673803,7208,0.167076507594067,7,2
11,8,8509.98024838736,6836,0.244877157458655,14,3
12,8,8520.15944698715,7115,0.197492543497842,3,1
13,8,8433.36502926541,7002,0.204422312091604,11,2
14,8,8224.29153162384,7658,0.0739477058793214,6,1
15,8,8150.37255501854,7254,0.12356941756528,18,3
16,8,8368.57337287999,7047,0.187537018998154,26,5
17,8,7276.69312370341,6706,0.085101867537043,16,3
18,8,8317.93053399923,7314,0.13726148947214,10,2
19,8,8185.42326285768,6795,0.204624468411726,19,4
20,8,7590.9561688419,6890,0.101735293010435,28,5
21,8,7674.41561078932,7291,0.0525875203386801,15,3
22,8,7970.87490633558,6778,0.175992166765355,29,5
23,8,8306.19187373335,7520,0.10454679171986,22,4
24,8,7947.39930312159,6780,0.172182788071031,1,1
25,8,8528.34466583616,7378,0.155915514480368,8,2
26,8,8411.16048381065,6960,0.208500069513024,5,1
27,8,8088.3364821906,7159,0.129813728480318,27,5
28,8,9121.21567429631,7292,0.250852396365375,23,4
29,8,8533.45489357364,7397,0.153637270998194,2,1
30,8,8508.69813381435,7311,0.163821383369492,21,4
1,9,8459.86452098428,7646,0.106443175645341,29,5
2,9,7288.58629943674,6476,0.125476574959348,12,2
3,9,8893.55768411215,7172,0.240038717807048,14,3
4,9,7571.72374345629,7028,0.0773653590575255,27,5
5,9,8107.79007993692,6999,0.158421214450196,21,4
6,9,8240.95252710628,6866,0.200255247175397,26,5
7,9,7919.00140349013,7239,0.0939358203467503,3,1
8,9,8662.65712087697,7095,0.2209523778544,19,4
9,9,7415.7024398742,7026,0.0554657614395383,15,3
10,9,8166.86345116488,7208,0.133027670805338,2,1
11,9,9317.63105700759,6836,0.363023852692742,1,1
12,9,8506.27255936191,7115,0.195540767303149,18,3
13,9,7871.06082046416,7002,0.124116084042296,9,2
14,9,8546.90789255421,7658,0.116075723760016,8,2
15,9,8349.68595475751,7254,0.151045761615317,7,2
16,9,8776.09396405417,7047,0.245365966234451,4,1
17,9,7238.2964496639,6706,0.0793761481753504,10,2
18,9,9404.30784530473,7314,0.285795439609615,22,4
19,9,8187.37083534036,6795,0.20491108687864,30,5
20,9,7897.41796346729,6890,0.146214508485818,25,5
21,9,7768.3898257133,7291,0.0654765911004382,13,3
22,9,7733.85966026335,6778,0.141023850732274,11,2
23,9,9329.22183302063,7520,0.24058800971019,28,5
24,9,7612.67137907085,6780,0.122812887768563,23,4
25,9,9235.63771835224,7378,0.251780661202527,24,4
26,9,8868.7515707758,6960,0.274245915341351,17,3
27,9,8503.80893666351,7159,0.187848713041418,6,1
28,9,9373.10070411208,7292,0.285395049933089,20,4
29,9,8851.97910282896,7397,0.196698540331075,5,1
30,9,8048.00377303431,7311,0.10080751922231,16,3
1,10,8869.3637656549,7646,0.160000492499987,22,4
2,10,7552.81502696796,6476,0.166277799099438,5,1
3,10,8153.32739699914,7172,0.136827579057326,21,4
4,10,8972.05315966711,7028,0.276615418279327,3,1
5,10,9168.29201588639,6999,0.309943137003342,9,2
6,10,8313.58910019307,6866,0.210834415990834,2,1
7,10,10757.5464946214,7239,0.486054219453162,20,4
8,10,7963.93370854894,7095,0.122471276751084,11,2
9,10,8626.17286191531,7026,0.227750193839355,10,2
10,10,8330.21474354381,7208,0.155690169748032,27,5
11,10,8075.21634425948,6836,0.181277990675758,4,1
12,10,9928.43185446535,7115,0.395422607795552,19,4
13,10,8078.41399873268,7002,0.153729505674476,13,3
14,10,8535.98059685265,7658,0.114648811289195,14,3
15,10,8563.73195739621,7254,0.180553068292833,15,3
16,10,9822.94287548727,7047,0.393918387326134,1,1
17,10,7688.34237144971,6706,0.146487081934046,29,5
18,10,9033.17392383772,7314,0.235052491637643,17,3
19,10,8268.76579504474,6795,0.216889741728438,8,2
20,10,8294.24492932745,6890,0.203809133429238,24,4
21,10,8353.67253168281,7291,0.145751273032891,30,5
22,10,9967.72272549325,6778,0.470599398862976,25,5
23,10,10814.43151946,7520,0.438089297800525,28,5
24,10,8074.1206843208,6780,0.190873257274454,26,5
25,10,8432.46683781283,7378,0.142920417160861,16,3
26,10,9389.14362862681,6960,0.349014889170519,18,3
27,10,8105.02137368984,7159,0.132144346094404,7,2
28,10,9444.18121424476,7292,0.295142788568946,6,1
29,10,8806.22065523671,7397,0.190512458461093,23,4
30,10,8726.18791428717,7311,0.193569677785141,12,2
1,11,9281.78252156293,7646,0.213939644462848,13,3
2,11,7380.93122293971,6476,0.139736136957954,23,4
3,11,8184.34105281935,7172,0.141151847855458,1,1
4,11,8640.7218352381,7028,0.229470949806218,25,5
5,11,8330.39555774063,6999,0.190226540611605,27,5
6,11,7576.54988537297,6866,0.103488186043252,30,5
7,11,7906.47300537612,7239,0.0922051395739904,19,4
8,11,7646.27583822404,7095,0.0776992020047976,12,2
9,11,8323.01460762859,7026,0.184602136013178,28,5
10,11,8602.39882082522,7208,0.19345155671826,8,2
11,11,7462.32758848208,6836,0.0916219409716319,15,3
12,11,8389.98740422798,7115,0.179197105302597,9,2
13,11,8462.8079995333,7002,0.208627249290674,21,4
14,11,10379.3807960569,7658,0.355364428840022,29,5
15,11,8058.79822414305,7254,0.110945440328515,10,2
16,11,8057.01620341598,7047,0.143325699363698,2,1
17,11,8539.30668491517,6706,0.273383042784846,22,4
18,11,8028.87976797481,7314,0.0977412862968018,16,3
19,11,7403.46981217384,6795,0.0895466978916621,17,3
20,11,7759.11124876343,6890,0.126140964987436,5,1
21,11,8111.70797504301,7291,0.112564528191334,6,1
22,11,7450.58135504574,6778,0.0992300612342486,14,3
23,11,10753.8352831307,7520,0.430031287650353,11,2
24,11,7924.94768169649,6780,0.168871339483258,4,1
25,11,8789.36534176453,7378,0.191293757354911,7,2
26,11,7444.60865532329,6960,0.0696276803625416,20,4
27,11,7999.92800306071,7159,0.117464450769759,26,5
28,11,8168.0562314275,7292,0.120139362510627,3,1
29,11,8798.55777818362,7397,0.189476514557743,18,3
30,11,8155.48323395227,7311,0.115508580762176,24,4
1,12,8531.66088976883,7646,0.115833231724932,11,2
2,12,7431.19787694005,6476,0.147498128001861,5,1
3,12,8081.56069352395,7172,0.126821067139424,26,5
4,12,7530.68266577493,7028,0.0715257065701384,13,3
5,12,9031.83285809148,6999,0.290446186325401,29,5
6,12,7543.39478032468,6866,0.0986593038631919,4,1
7,12,7778.11474412383,7239,0.0744736488636322,24,4
8,12,7700.07183277702,7095,0.085281442251871,23,4
9,12,8563.85562461292,7026,0.218880675293612,22,4
10,12,8300.2794674458,7208,0.151537107026332,25,5
11,12,8630.90360876914,6836,0.262566355876118,28,5
12,12,8131.33235932669,7115,0.142843620425396,30,5
13,12,8555.90541849265,7002,0.221923081761304,1,1
14,12,8848.41215409643,7658,0.155446873086501,3,1
15,12,9128.81829411206,7254,0.258453031997803,8,2
16,12,7636.37271755969,7047,0.083634556202596,10,2
17,12,7745.02547525429,6706,0.154939677192707,18,3
18,12,8329.18886586189,7314,0.138800774659816,7,2
19,12,7241.64207214473,6795,0.0657309892781057,9,2
20,12,7509.74842139713,6890,0.089948972626579,17,3
21,12,9079.86205056577,7291,0.245352084839634,20,4
22,12,8070.97650727519,6778,0.190760771212038,12,2
23,12,8485.52814201664,7520,0.128394699736256,6,1
24,12,7931.54777387668,6780,0.16984480440659,19,4
25,12,8262.21681023599,7378,0.11984505424722,27,5
26,12,7406.60434295087,6960,0.0641672906538609,15,3
27,12,8243.159081302,7159,0.151440016943986,16,3
28,12,8583.17000781644,7292,0.177066649453708,21,4
29,12,8566.27417718815,7397,0.1580741080422,2,1
30,12,7808.89612016139,7311,0.0681023280209801,14,3
1,13,12318.3608245645,7646,0.611085642762814,24,4
2,13,8405.29988063894,6476,0.29791536143282,19,4
3,13,11413.281137033,7172,0.591366583523848,16,3
4,13,8833.83417745706,7028,0.256948516997305,17,3
5,13,8108.92462456721,6999,0.158583315411803,11,2
6,13,8074.91382875286,6866,0.176072506372395,12,2
7,13,10355.7784687548,7239,0.430553732387733,20,4
8,13,8576.84050967794,7095,0.208857013344318,6,1
9,13,9761.88203510347,7026,0.389393970268071,4,1
10,13,8833.95654041897,7208,0.225576656550912,14,3
11,13,7679.6790942151,6836,0.123417070540535,8,2
12,13,9131.81525064581,7115,0.283459627638202,9,2
13,13,8357.61123891444,7002,0.193603433149735,27,5
14,13,9222.76903382848,7658,0.204331291959843,28,5
15,13,8626.9305203476,7254,0.189265304707416,13,3
16,13,8155.14581363584,7047,0.157250718551986,2,1
17,13,7430.31762834052,6706,0.108010382991428,3,1
18,13,9255.01229722589,7314,0.265383141540319,1,1
19,13,7596.69198678037,6795,0.117982632344426,5,1
20,13,8240.63475188608,6890,0.196028265876064,21,4
21,13,9191.09646451547,7291,0.260608485052184,30,5
22,13,10147.6385089997,6778,0.497143480230113,15,3
23,13,9737.83964840739,7520,0.294925485160557,10,2
24,13,8231.10038724235,6780,0.214026605787957,7,2
25,13,11070.0281553885,7378,0.500410430386082,26,5
26,13,9015.27985019259,6960,0.295298829050659,23,4
27,13,9496.39099771486,7159,0.326496856783749,22,4
28,13,10543.1418558615,7292,0.445850501352372,25,5
29,13,10189.0086126253,7397,0.377451482036675,29,5
30,13,10947.4376117808,7311,0.497392642836934,18,3
1,14,9771.23813933714,7646,0.277954242654609,22,4
2,14,7889.31558202483,6476,0.218238971900066,23,4
3,14,11182.120122069,7172,0.559135544069849,17,3
4,14,10208.9364246712,7028,0.452609053026634,30,5
5,14,8618.11323635807,6999,0.23133493875669,18,3
6,14,8324.99988295325,6866,0.212496341822496,8,2
7,14,7840.97984596753,7239,0.0831578734587001,12,2
8,14,7956.0252765228,7095,0.121356628121607,24,4
9,14,8650.76706163816,7026,0.23125064925109,11,2
10,14,8783.20968946321,7208,0.218536305419424,2,1
11,14,8314.68682714966,6836,0.21630878103418,9,2
12,14,8872.18616792041,7115,0.246969243558737,29,5
13,14,8614.53820074808,7002,0.230296801020863,26,5
14,14,9531.96361701787,7658,0.244706661924507,13,3
15,14,11001.8943333248,7254,0.516665885487296,1,1
16,14,9390.27942842225,7047,0.332521559304988,14,3
17,14,8869.43974918792,6706,0.322612548342965,5,1
18,14,10532.7204820377,7314,0.440076631397,6,1
19,14,9081.34084105336,6795,0.33647400162669,27,5
20,14,10117.7943897034,6890,0.468475237983071,15,3
21,14,10596.761199251,7291,0.453402989884927,19,4
22,14,8468.26742833194,6778,0.24937554268692,4,1
23,14,8472.07964919153,7520,0.12660633632866,21,4
24,14,8137.05149718484,6780,0.20015508808036,3,1
25,14,12167.2974264999,7378,0.649132207441028,20,4
26,14,8688.63632799485,6960,0.248367288505008,25,5
27,14,10151.3006392078,7159,0.417977460428525,7,2
28,14,9669.31635856013,7292,0.32601705410863,10,2
29,14,9158.23092747591,7397,0.238100706702164,16,3
30,14,8418.67291978356,7311,0.151507717108953,28,5
1,15,8661.88248659096,7646,0.132864567955919,3,1
2,15,7708.12097837478,6476,0.190259570471709,26,5
3,15,9002.86891765164,7172,0.255280105640217,10,2
4,15,8218.59098369198,7028,0.16940679904553,2,1
5,15,7444.73813975851,6999,0.0636859751048022,9,2
6,15,7415.05563500197,6866,0.0799673223131321,27,5
7,15,8241.29436026625,7239,0.138457571524555,7,2
8,15,8986.4159105558,7095,0.266584342573052,21,4
9,15,7873.33791960391,7026,0.120600330145731,25,5
10,15,9676.69387005655,7208,0.342493600174327,17,3
11,15,8177.50389762224,6836,0.196241061676747,8,2
12,15,8142.06301744729,7115,0.144351794440941,12,2
13,15,8020.78968535324,7002,0.145499812246964,23,4
14,15,8651.63232842568,7658,0.129750891672197,15,3
15,15,8328.85045678846,7254,0.148173484531081,22,4
16,15,8821.46818908198,7047,0.251804766437063,30,5
17,15,7691.46059130424,6706,0.146952071473939,6,1
18,15,8483.05685224314,7314,0.15983823519868,4,1
19,15,7398.91518092762,6795,0.08887640631753,24,4
20,15,8198.2659792742,6890,0.189878951999159,18,3
21,15,10026.4821986347,7291,0.375186147117643,5,1
22,15,7469.66701189085,6778,0.102045885495847,19,4
23,15,8699.22176620663,7520,0.156811405080668,11,2
24,15,7567.86515511,6780,0.116204300163717,20,4
25,15,8330.88627751898,7378,0.129152382423283,29,5
26,15,7869.11894994931,6960,0.13062053878582,14,3
27,15,9532.34066533432,7159,0.331518461423986,13,3
28,15,8773.27416999771,7292,0.203136885627771,1,1
29,15,8975.88718436454,7397,0.213449666670886,28,5
30,15,8348.88217013854,7311,0.141961724817198,16,3
1,16,8765.20518461401,7646,0.146377868769816,26,5
